{'nome': 'Jack Stall Beck', 'classe': 'ED', 'level': 831, 'exp': 9504415805}
{'nome': 'Rieg Bdj', 'classe': 'ED', 'level': 606, 'exp': 3688222535}
{'nome': 'Almost Killerl', 'classe': 'RP', 'level': 606, 'exp': 3687875986}
{'nome': 'Murdoc', 'classe': 'ED', 'level': 606, 'exp': 3687771085}
{'nome': 'Tchunay', 'classe': 'ED', 'level': 606, 'exp': 3687701006}
{'nome': 'Cusitox Rp', 'classe': 'RP', 'level': 606, 'exp': 3686830961}
{'nome': 'Gothmog', 'classe': 'ED', 'level': 606, 'exp': 3686770955}
{'nome': 'Pimentinha Crzy', 'classe': 'RP', 'level': 606, 'exp': 3685089351}
{'nome': 'Lucao Thug Life', 'classe': 'ED', 'level': 606, 'exp': 3682937655}
{'nome': 'Theuzikk', 'classe': 'ED', 'level': 606, 'exp': 3682666616}
{'nome': 'Mage Angel', 'classe': 'ED', 'level': 606, 'exp': 3682011250}
{'nome': 'Eu Sei La', 'classe': 'RP', 'level': 606, 'exp': 3680894537}
{'nome': 'Pally Of Lost', 'classe': 'RP', 'level': 606, 'exp': 3680153840}
{'nome': 'Iguuh Dashoow', 'classe': 'ED', 'level': 606, 'exp': 3680142326}
{'nome': 'Arwen', 'classe': 'RP', 'level': 606, 'exp': 3679045355}
{'nome': 'Plugzin', 'classe': 'ED', 'level': 606, 'exp': 3678936892}
{'nome': 'Coronga Virus', 'classe': 'RP', 'level': 606, 'exp': 3678760336}
{'nome': 'Evril Canalha', 'classe': 'EK', 'level': 606, 'exp': 3678402819}
{'nome': 'Marinhoxzor', 'classe': 'ED', 'level': 606, 'exp': 3678340058}
{'nome': 'Cu De Cana', 'classe': 'EK', 'level': 606, 'exp': 3677372409}
{'nome': 'Uzumaki Himawari', 'classe': 'RP', 'level': 606, 'exp': 3676684229}
{'nome': 'Saruman The White', 'classe': 'MS', 'level': 606, 'exp': 3673451678}
{'nome': 'Jean De Flak Low', 'classe': 'RP', 'level': 606, 'exp': 3673045193}
{'nome': 'Questao Familiar', 'classe': 'MS', 'level': 606, 'exp': 3673021631}
{'nome': 'Xie Xiao', 'classe': 'EK', 'level': 606, 'exp': 3672857196}
{'nome': 'Master Loked', 'classe': 'MS', 'level': 605, 'exp': 3672466492}
{'nome': 'Snager', 'classe': 'RP', 'level': 605, 'exp': 3672448578}
{'nome': 'Tchezerah Tank', 'classe': 'EK', 'level': 605, 'exp': 3672129089}
{'nome': 'Mystogann', 'classe': 'RP', 'level': 605, 'exp': 3670255373}
{'nome': 'Sleepy', 'classe': 'RP', 'level': 605, 'exp': 3669798006}
{'nome': 'Zwinn Archer', 'classe': 'RP', 'level': 605, 'exp': 3669455008}
{'nome': 'Yago Ak Trovao', 'classe': 'ED', 'level': 605, 'exp': 3669360112}
{'nome': 'Rp zin', 'classe': 'RP', 'level': 605, 'exp': 3669273927}
{'nome': 'Athena Jr', 'classe': 'RP', 'level': 605, 'exp': 3669224956}
{'nome': 'All Bob', 'classe': 'RP', 'level': 605, 'exp': 3668817404}
{'nome': 'Copperfield', 'classe': 'ED', 'level': 605, 'exp': 3668615137}
{'nome': 'Zewbow', 'classe': 'RP', 'level': 605, 'exp': 3668260433}
{'nome': 'Deathking', 'classe': 'RP', 'level': 605, 'exp': 3667246378}
{'nome': 'Thousand Bolts', 'classe': 'RP', 'level': 605, 'exp': 3666927697}
{'nome': 'Homepaly', 'classe': 'RP', 'level': 605, 'exp': 3666305224}
{'nome': 'Glowka Reki', 'classe': 'RP', 'level': 605, 'exp': 3666212472}
{'nome': 'Kriito', 'classe': 'RP', 'level': 605, 'exp': 3666071607}
{'nome': 'Tche Lindo', 'classe': 'ED', 'level': 605, 'exp': 3665614610}
{'nome': 'So Laments', 'classe': 'ED', 'level': 605, 'exp': 3665421707}
{'nome': 'Paladina Robotica', 'classe': 'RP', 'level': 605, 'exp': 3665066529}
{'nome': 'Kina Maldoso', 'classe': 'EK', 'level': 605, 'exp': 3664669123}
{'nome': 'Prozika', 'classe': 'ED', 'level': 605, 'exp': 3664439188}
{'nome': 'Silent Player', 'classe': 'EK', 'level': 605, 'exp': 3663015025}
{'nome': 'Onde Tu Vai', 'classe': 'MS', 'level': 605, 'exp': 3662573712}
{'nome': 'Blast Rush', 'classe': 'MS', 'level': 605, 'exp': 3662485830}
{'nome': 'Stewiek', 'classe': 'ED', 'level': 605, 'exp': 3662423200}
{'nome': 'Software', 'classe': 'ED', 'level': 605, 'exp': 3661947346}
{'nome': 'Ramon', 'classe': 'RP', 'level': 605, 'exp': 3660806830}
{'nome': 'Legolas Quickscope', 'classe': 'RP', 'level': 605, 'exp': 3660600640}
{'nome': 'Eyshyeld', 'classe': 'EK', 'level': 605, 'exp': 3660389079}
{'nome': 'Tsey', 'classe': 'ED', 'level': 605, 'exp': 3659824001}
{'nome': 'Kitto', 'classe': 'RP', 'level': 605, 'exp': 3659802882}
{'nome': 'Biasao Ms', 'classe': 'MS', 'level': 605, 'exp': 3659306691}
{'nome': 'Atirador De Bostas', 'classe': 'RP', 'level': 605, 'exp': 3658731992}
{'nome': 'Bucetao da bahia', 'classe': 'MS', 'level': 605, 'exp': 3658685215}
{'nome': 'Muleke Do Carulas', 'classe': 'RP', 'level': 605, 'exp': 3658660223}
{'nome': 'Lord Leo', 'classe': 'RP', 'level': 605, 'exp': 3657618397}
{'nome': 'Sapinho', 'classe': 'ED', 'level': 605, 'exp': 3657444339}
{'nome': 'Archer Of Hell', 'classe': 'RP', 'level': 605, 'exp': 3657157502}
{'nome': 'Lord Bizarre', 'classe': 'MS', 'level': 605, 'exp': 3657089966}
{'nome': 'Park Art', 'classe': 'RP', 'level': 605, 'exp': 3656916511}
{'nome': 'Emily Sz', 'classe': 'RP', 'level': 605, 'exp': 3656899043}
{'nome': 'Stvn Hyde', 'classe': 'RP', 'level': 605, 'exp': 3655618701}
{'nome': 'Faustim', 'classe': 'RP', 'level': 605, 'exp': 3655438131}
{'nome': 'Meucu Poh', 'classe': 'ED', 'level': 605, 'exp': 3655342029}
{'nome': 'Haru Jaao', 'classe': 'ED', 'level': 605, 'exp': 3655078601}
{'nome': 'To Rushando', 'classe': 'ED', 'level': 605, 'exp': 3654391900}
{'nome': 'Bo Kill', 'classe': 'RP', 'level': 605, 'exp': 3654328718}
{'nome': 'Einar', 'classe': 'ED', 'level': 604, 'exp': 3654008012}
{'nome': 'Saint Insane', 'classe': 'RP', 'level': 604, 'exp': 3653888314}
{'nome': 'Quinn Win', 'classe': 'RP', 'level': 604, 'exp': 3653505369}
{'nome': 'Hey Loukksz', 'classe': 'RP', 'level': 604, 'exp': 3653133489}
{'nome': 'Charlie Briscow', 'classe': 'ED', 'level': 604, 'exp': 3652776596}
{'nome': 'Divine Knight', 'classe': 'EK', 'level': 604, 'exp': 3652355110}
{'nome': 'Homen Makako', 'classe': 'ED', 'level': 604, 'exp': 3652044145}
{'nome': 'Firmezinha', 'classe': 'RP', 'level': 604, 'exp': 3651862742}
{'nome': 'Ed Lynk', 'classe': 'ED', 'level': 604, 'exp': 3651221480}
{'nome': 'Last Royal', 'classe': 'RP', 'level': 604, 'exp': 3650875418}
{'nome': 'Kina Da Pancada', 'classe': 'EK', 'level': 604, 'exp': 3650352798}
{'nome': 'Tatoow React', 'classe': 'ED', 'level': 604, 'exp': 3649365656}
{'nome': 'Minao Paraamax', 'classe': 'ED', 'level': 604, 'exp': 3649313239}
{'nome': 'Kindread', 'classe': 'RP', 'level': 604, 'exp': 3649259606}
{'nome': 'Shiny Rhydon', 'classe': 'EK', 'level': 604, 'exp': 3648889220}
{'nome': 'You Are Exausted', 'classe': 'EK', 'level': 604, 'exp': 3648311429}
{'nome': 'Exkordon', 'classe': 'RP', 'level': 604, 'exp': 3648284540}
{'nome': 'Rapunzel', 'classe': 'RP', 'level': 604, 'exp': 3648100905}
{'nome': 'Tiu Bille', 'classe': 'ED', 'level': 604, 'exp': 3648065484}
{'nome': 'Master Piru', 'classe': 'MS', 'level': 604, 'exp': 3647686244}
{'nome': 'Dol Guldur', 'classe': 'RP', 'level': 604, 'exp': 3647561258}
{'nome': 'Senior Cokess', 'classe': 'RP', 'level': 604, 'exp': 3646433384}
{'nome': 'Usemax Heroin', 'classe': 'ED', 'level': 604, 'exp': 3646351715}
{'nome': 'Fortt', 'classe': 'RP', 'level': 604, 'exp': 3645241219}
{'nome': 'Boltada Nervosa', 'classe': 'RP', 'level': 604, 'exp': 3645212535}
{'nome': 'Master Reset', 'classe': 'MS', 'level': 604, 'exp': 3644306736}
{'nome': 'Carinha Al', 'classe': 'ED', 'level': 604, 'exp': 3643065975}
{'nome': 'Pvpzk On Moviment', 'classe': 'EK', 'level': 604, 'exp': 3642930292}
{'nome': 'Raider Knight', 'classe': 'EK', 'level': 604, 'exp': 3642131802}
{'nome': 'Holly Pointer', 'classe': 'RP', 'level': 604, 'exp': 3641932453}
{'nome': 'Kiwiiziin', 'classe': 'RP', 'level': 604, 'exp': 3641916647}
{'nome': 'Muzera', 'classe': 'RP', 'level': 604, 'exp': 3641612692}
{'nome': 'Mith', 'classe': 'RP', 'level': 604, 'exp': 3641593903}
{'nome': 'Doidao De Cha', 'classe': 'ED', 'level': 604, 'exp': 3640546159}
{'nome': 'Sevenboys', 'classe': 'ED', 'level': 604, 'exp': 3640291587}
{'nome': 'Sace Asto', 'classe': 'MS', 'level': 604, 'exp': 3639681290}
{'nome': 'Galaxy Ace', 'classe': 'RP', 'level': 604, 'exp': 3639271586}
{'nome': 'Muth', 'classe': 'MS', 'level': 604, 'exp': 3639036998}
{'nome': 'Xuxuzinhu', 'classe': 'ED', 'level': 604, 'exp': 3638078390}
{'nome': 'Master Pallazin', 'classe': 'RP', 'level': 604, 'exp': 3637637865}
{'nome': 'Supper Kennen', 'classe': 'EK', 'level': 604, 'exp': 3637473549}
{'nome': 'Leziika', 'classe': 'RP', 'level': 604, 'exp': 3637222250}
{'nome': 'Havoc Ironside', 'classe': 'RP', 'level': 604, 'exp': 3637169447}
{'nome': 'Sir Palazin', 'classe': 'RP', 'level': 604, 'exp': 3637043495}
{'nome': 'Chewbacca', 'classe': 'RP', 'level': 604, 'exp': 3636856488}
{'nome': 'Padrinho Matador', 'classe': 'ED', 'level': 604, 'exp': 3636529737}
{'nome': 'Wien Tacasd', 'classe': 'MS', 'level': 604, 'exp': 3636456756}
{'nome': 'Newbba', 'classe': 'RP', 'level': 603, 'exp': 3634967463}
{'nome': 'Willsz', 'classe': 'MS', 'level': 603, 'exp': 3634394116}
{'nome': 'Makerdois', 'classe': 'ED', 'level': 603, 'exp': 3633517096}
{'nome': 'Faitao Da Gaiola', 'classe': 'EK', 'level': 603, 'exp': 3633482489}
{'nome': 'Hax Marroquino', 'classe': 'RP', 'level': 603, 'exp': 3633467386}
{'nome': 'Cabral Loko', 'classe': 'RP', 'level': 603, 'exp': 3633394661}
{'nome': 'Biscatona', 'classe': 'ED', 'level': 603, 'exp': 3633189049}
{'nome': 'Underground', 'classe': 'ED', 'level': 603, 'exp': 3633028900}
{'nome': 'Bombo Fica', 'classe': 'ED', 'level': 603, 'exp': 3632839186}
{'nome': 'Snap Back', 'classe': 'ED', 'level': 603, 'exp': 3632834387}
{'nome': 'Uzi Mec', 'classe': 'RP', 'level': 603, 'exp': 3632828948}
{'nome': 'Mukabowl', 'classe': 'ED', 'level': 603, 'exp': 3631871598}
{'nome': 'Lipinho', 'classe': 'ED', 'level': 603, 'exp': 3629750923}
{'nome': 'Ator Mentado', 'classe': 'RP', 'level': 603, 'exp': 3629698766}
{'nome': 'Alissia', 'classe': 'RP', 'level': 603, 'exp': 3629661797}
{'nome': 'Pvp De Limao', 'classe': 'ED', 'level': 603, 'exp': 3629279537}
{'nome': 'Sane', 'classe': 'ED', 'level': 603, 'exp': 3629240211}
{'nome': 'Big Show', 'classe': 'EK', 'level': 603, 'exp': 3628897643}
{'nome': 'Teteu Rusha', 'classe': 'ED', 'level': 603, 'exp': 3628838701}
{'nome': 'Przywodztwo', 'classe': 'RP', 'level': 603, 'exp': 3628604973}
{'nome': 'Don Master', 'classe': 'ED', 'level': 603, 'exp': 3628576335}
{'nome': 'Follower', 'classe': 'ED', 'level': 603, 'exp': 3628174560}
{'nome': 'Zack Fdp', 'classe': 'RP', 'level': 603, 'exp': 3628092922}
{'nome': 'Bruxosz Neverlose', 'classe': 'ED', 'level': 603, 'exp': 3627357590}
{'nome': 'Dixox', 'classe': 'EK', 'level': 603, 'exp': 3627273782}
{'nome': 'Chrisliebing', 'classe': 'RP', 'level': 603, 'exp': 3626978911}
{'nome': 'Palazoca', 'classe': 'RP', 'level': 603, 'exp': 3626486358}
{'nome': 'Pelados Em Santos', 'classe': 'ED', 'level': 603, 'exp': 3626407994}
{'nome': 'Xaropeshow Guga', 'classe': 'ED', 'level': 603, 'exp': 3626112457}
{'nome': 'Xirix', 'classe': 'EK', 'level': 603, 'exp': 3625465245}
{'nome': 'Tonyboy', 'classe': 'ED', 'level': 603, 'exp': 3625159116}
{'nome': 'Ashes Starman', 'classe': 'RP', 'level': 603, 'exp': 3625049093}
{'nome': 'Vagabundo Matador', 'classe': 'RP', 'level': 603, 'exp': 3624988881}
{'nome': 'Tepaseiarola', 'classe': 'RP', 'level': 603, 'exp': 3624795988}
{'nome': 'Ze Da Recaida', 'classe': 'MS', 'level': 603, 'exp': 3624654133}
{'nome': 'Castrol', 'classe': 'RP', 'level': 603, 'exp': 3624547114}
{'nome': 'Luke Cage', 'classe': 'RP', 'level': 603, 'exp': 3624401359}
{'nome': 'Meninao', 'classe': 'RP', 'level': 603, 'exp': 3624054821}
{'nome': 'Death Knight', 'classe': 'EK', 'level': 603, 'exp': 3623986214}
{'nome': 'Master Power', 'classe': 'MS', 'level': 603, 'exp': 3623700913}
{'nome': 'Mlk Bobo', 'classe': 'MS', 'level': 603, 'exp': 3623672893}
{'nome': 'Kill In All', 'classe': 'RP', 'level': 603, 'exp': 3623512324}
{'nome': 'Judete', 'classe': 'RP', 'level': 603, 'exp': 3623166317}
{'nome': 'Guish', 'classe': 'ED', 'level': 603, 'exp': 3622737655}
{'nome': 'Mcnnzord Baiakeira', 'classe': 'RP', 'level': 603, 'exp': 3622368333}
{'nome': 'Paz Pela Paz', 'classe': 'ED', 'level': 603, 'exp': 3622278307}
{'nome': 'Khal', 'classe': 'EK', 'level': 603, 'exp': 3622203048}
{'nome': 'Pedrin Intercala', 'classe': 'ED', 'level': 603, 'exp': 3621705751}
{'nome': 'Khadgar Blackrock', 'classe': 'RP', 'level': 603, 'exp': 3621657901}
{'nome': 'Helix Mercenary', 'classe': 'ED', 'level': 603, 'exp': 3621465028}
{'nome': 'Matz Rp', 'classe': 'RP', 'level': 603, 'exp': 3621440681}
{'nome': 'Red Rose', 'classe': 'ED', 'level': 603, 'exp': 3621323720}
{'nome': 'Sleepy Satan', 'classe': 'RP', 'level': 603, 'exp': 3620695348}
{'nome': 'Berith', 'classe': 'ED', 'level': 603, 'exp': 3620503782}
{'nome': 'Player Unknownn', 'classe': 'RP', 'level': 603, 'exp': 3620155724}
{'nome': 'Loth Zeptelia', 'classe': 'RP', 'level': 603, 'exp': 3620049439}
{'nome': 'Demorian', 'classe': 'RP', 'level': 603, 'exp': 3619905088}
{'nome': 'Guguzera Pala', 'classe': 'RP', 'level': 603, 'exp': 3619576875}
{'nome': 'Pakku', 'classe': 'ED', 'level': 603, 'exp': 3619456843}
{'nome': 'Caminhao', 'classe': 'ED', 'level': 603, 'exp': 3619060969}
{'nome': 'Pepe Louco', 'classe': 'MS', 'level': 603, 'exp': 3619017944}
{'nome': 'No Faster', 'classe': 'RP', 'level': 603, 'exp': 3618964192}
{'nome': 'Dorion Mercury', 'classe': 'ED', 'level': 603, 'exp': 3618927160}
{'nome': 'Lady Death', 'classe': 'ED', 'level': 603, 'exp': 3618834911}
{'nome': 'Artrerius', 'classe': 'ED', 'level': 603, 'exp': 3618423377}
{'nome': 'Juninhow Styllo', 'classe': 'ED', 'level': 603, 'exp': 3618313304}
{'nome': 'Max Night Ever', 'classe': 'MS', 'level': 603, 'exp': 3618145697}
{'nome': 'Jony Du Mato', 'classe': 'ED', 'level': 602, 'exp': 3617812271}
{'nome': 'Spectral Flame', 'classe': 'MS', 'level': 602, 'exp': 3617760737}
{'nome': 'Mage Of Dark', 'classe': 'ED', 'level': 602, 'exp': 3617479837}
{'nome': 'Maka Cheira', 'classe': 'ED', 'level': 602, 'exp': 3617273179}
{'nome': 'Mc Paladin Litox', 'classe': 'RP', 'level': 602, 'exp': 3617013157}
{'nome': 'Black Dog', 'classe': 'EK', 'level': 602, 'exp': 3616943845}
{'nome': 'Oh My Ghaz', 'classe': 'ED', 'level': 602, 'exp': 3616647888}
{'nome': 'Azor Hi', 'classe': 'ED', 'level': 602, 'exp': 3616510657}
{'nome': 'Pally Dead', 'classe': 'RP', 'level': 602, 'exp': 3616470392}
{'nome': 'Nisz', 'classe': 'ED', 'level': 602, 'exp': 3616184172}
{'nome': 'Jokiphore', 'classe': 'RP', 'level': 602, 'exp': 3615492439}
{'nome': 'Sir Achira', 'classe': 'RP', 'level': 602, 'exp': 3614520985}
{'nome': 'Shyzon', 'classe': 'ED', 'level': 602, 'exp': 3613892991}
{'nome': 'Lord Gaturro', 'classe': 'ED', 'level': 602, 'exp': 3613720047}
{'nome': 'Telinha', 'classe': 'ED', 'level': 602, 'exp': 3613385277}
{'nome': 'Luakss', 'classe': 'RP', 'level': 602, 'exp': 3612854965}
{'nome': 'Theusma', 'classe': 'ED', 'level': 602, 'exp': 3612599655}
{'nome': 'Soul Cracudo', 'classe': 'MS', 'level': 602, 'exp': 3612386285}
{'nome': 'Wilzin Neon', 'classe': 'ED', 'level': 602, 'exp': 3612121911}
{'nome': 'Megatronn', 'classe': 'EK', 'level': 602, 'exp': 3612017682}
{'nome': 'Tiida', 'classe': 'ED', 'level': 602, 'exp': 3611931201}
{'nome': 'Caputiri', 'classe': 'ED', 'level': 602, 'exp': 3611897330}
{'nome': 'Jenni Tank', 'classe': 'EK', 'level': 602, 'exp': 3611386617}
{'nome': 'Meto Bala', 'classe': 'ED', 'level': 602, 'exp': 3611329281}
{'nome': 'Best Marola', 'classe': 'RP', 'level': 602, 'exp': 3610956015}
{'nome': 'Cody', 'classe': 'ED', 'level': 602, 'exp': 3610888331}
{'nome': 'Lucasalef', 'classe': 'MS', 'level': 602, 'exp': 3610708074}
{'nome': 'Jeison Dashow', 'classe': 'ED', 'level': 602, 'exp': 3610679110}
{'nome': 'Sherebin', 'classe': 'ED', 'level': 602, 'exp': 3610630708}
{'nome': 'Dark Sky', 'classe': 'RP', 'level': 602, 'exp': 3610402134}
{'nome': 'Picoleu', 'classe': 'EK', 'level': 602, 'exp': 3610323313}
{'nome': 'Blaziken', 'classe': 'MS', 'level': 602, 'exp': 3610168592}
{'nome': 'Kooshei', 'classe': 'ED', 'level': 602, 'exp': 3610086816}
{'nome': 'Bew Knight', 'classe': 'EK', 'level': 602, 'exp': 3609748164}
{'nome': 'Sohvai', 'classe': 'RP', 'level': 602, 'exp': 3609495969}
{'nome': 'Merci Beaucoup', 'classe': 'ED', 'level': 602, 'exp': 3608488758}
{'nome': 'Batistuta Raiz', 'classe': 'RP', 'level': 602, 'exp': 3608380614}
{'nome': 'Sabotagee', 'classe': 'RP', 'level': 602, 'exp': 3608224037}
{'nome': 'Ciiroc', 'classe': 'ED', 'level': 602, 'exp': 3608061443}
{'nome': 'Ruless', 'classe': 'ED', 'level': 602, 'exp': 3608053665}
{'nome': 'Alvaro Rush', 'classe': 'RP', 'level': 602, 'exp': 3607809190}
{'nome': 'Lambe Grelho', 'classe': 'MS', 'level': 602, 'exp': 3607766744}
{'nome': 'Zang', 'classe': 'ED', 'level': 602, 'exp': 3607763380}
{'nome': 'Pally Back', 'classe': 'RP', 'level': 602, 'exp': 3607603626}
{'nome': 'Fantasmy', 'classe': 'RP', 'level': 602, 'exp': 3607419268}
{'nome': 'Aztalavista', 'classe': 'RP', 'level': 602, 'exp': 3607120237}
{'nome': 'Markziik', 'classe': 'RP', 'level': 602, 'exp': 3606707631}
{'nome': 'Lipekz Is God', 'classe': 'ED', 'level': 602, 'exp': 3606674456}
{'nome': 'Manolow', 'classe': 'RP', 'level': 602, 'exp': 3606633260}
{'nome': 'Kaahsz Bueno', 'classe': 'RP', 'level': 602, 'exp': 3606491234}
{'nome': 'Dj Lorita', 'classe': 'ED', 'level': 602, 'exp': 3606386026}
{'nome': 'Maylla', 'classe': 'MS', 'level': 602, 'exp': 3606379849}
{'nome': 'Zadkiel', 'classe': 'ED', 'level': 602, 'exp': 3606308123}
{'nome': 'Harvey Speccter', 'classe': 'RP', 'level': 602, 'exp': 3606148618}
{'nome': 'Especialista', 'classe': 'RP', 'level': 602, 'exp': 3605987641}
{'nome': 'Killatak', 'classe': 'RP', 'level': 602, 'exp': 3605873320}
{'nome': 'Escanor Fatality', 'classe': 'EK', 'level': 602, 'exp': 3605869111}
{'nome': 'Wollick', 'classe': 'RP', 'level': 602, 'exp': 3605807753}
{'nome': 'Di ih', 'classe': 'ED', 'level': 602, 'exp': 3605802274}
{'nome': 'Syndoquai', 'classe': 'ED', 'level': 602, 'exp': 3605578069}
{'nome': 'Thee Jack', 'classe': 'EK', 'level': 602, 'exp': 3605368762}
{'nome': 'Deboresty Warfull', 'classe': 'ED', 'level': 602, 'exp': 3605279636}
{'nome': 'Elder Cokess', 'classe': 'ED', 'level': 602, 'exp': 3605237387}
{'nome': 'Lucimus', 'classe': 'MS', 'level': 602, 'exp': 3605039595}
{'nome': 'Laka The King', 'classe': 'ED', 'level': 602, 'exp': 3604974080}
{'nome': 'Poppy', 'classe': 'EK', 'level': 602, 'exp': 3604921743}
{'nome': 'Lukao On', 'classe': 'ED', 'level': 602, 'exp': 3604902961}
{'nome': 'So Mato Bots', 'classe': 'ED', 'level': 602, 'exp': 3604855198}
{'nome': 'Magic Blue', 'classe': 'ED', 'level': 602, 'exp': 3604735812}
{'nome': 'Smirnof', 'classe': 'RP', 'level': 602, 'exp': 3604644201}
{'nome': 'Levyty', 'classe': 'EK', 'level': 602, 'exp': 3604584849}
{'nome': 'Klaytin', 'classe': 'EK', 'level': 602, 'exp': 3604055810}
{'nome': 'Demonoide', 'classe': 'RP', 'level': 602, 'exp': 3603996229}
{'nome': 'Palla Ninja', 'classe': 'RP', 'level': 602, 'exp': 3603941618}
{'nome': 'Netyfrix', 'classe': 'ED', 'level': 602, 'exp': 3603779804}
{'nome': 'Mayara Fernandes', 'classe': 'ED', 'level': 602, 'exp': 3603589777}
{'nome': 'Alerquina Rullez', 'classe': 'ED', 'level': 602, 'exp': 3603141923}
{'nome': 'Gossanu', 'classe': 'ED', 'level': 602, 'exp': 3602866170}
{'nome': 'Atipq', 'classe': 'ED', 'level': 602, 'exp': 3602858842}
{'nome': 'Budiweiser', 'classe': 'RP', 'level': 602, 'exp': 3602742448}
{'nome': 'Vlad Empalador', 'classe': 'RP', 'level': 602, 'exp': 3602604343}
{'nome': 'The Wanted', 'classe': 'RP', 'level': 602, 'exp': 3602561374}
{'nome': 'Paladino Supremo', 'classe': 'RP', 'level': 602, 'exp': 3602497273}
{'nome': 'Maju Trindade', 'classe': 'ED', 'level': 602, 'exp': 3602352942}
{'nome': 'Luke Druid', 'classe': 'ED', 'level': 602, 'exp': 3602340126}
{'nome': 'King Deelas', 'classe': 'ED', 'level': 602, 'exp': 3602220228}
{'nome': 'Provokador', 'classe': 'RP', 'level': 602, 'exp': 3602191747}
{'nome': 'Krowler', 'classe': 'ED', 'level': 602, 'exp': 3602113224}
{'nome': 'Bad Company', 'classe': 'RP', 'level': 602, 'exp': 3602032834}
{'nome': 'Temaki', 'classe': 'ED', 'level': 602, 'exp': 3601945166}
{'nome': 'Te Mateidemorte', 'classe': 'EK', 'level': 602, 'exp': 3601855313}
{'nome': 'Royal Netdown', 'classe': 'RP', 'level': 602, 'exp': 3601664568}
{'nome': 'Tenente Bitao', 'classe': 'ED', 'level': 602, 'exp': 3601608354}
{'nome': 'Orixa Sovietico', 'classe': 'RP', 'level': 602, 'exp': 3601483135}
{'nome': 'Tomalia', 'classe': 'ED', 'level': 602, 'exp': 3601205498}
{'nome': 'Joao Sz', 'classe': 'ED', 'level': 602, 'exp': 3601179758}
{'nome': 'Close', 'classe': 'RP', 'level': 602, 'exp': 3600956228}
{'nome': 'The Top', 'classe': 'ED', 'level': 602, 'exp': 3600949375}
{'nome': 'Haka', 'classe': 'RP', 'level': 602, 'exp': 3600879422}
{'nome': 'Will Meu Enteado', 'classe': 'ED', 'level': 602, 'exp': 3600828757}
{'nome': 'Deadly Rip', 'classe': 'RP', 'level': 602, 'exp': 3600789269}
{'nome': 'Pan Koaj', 'classe': 'ED', 'level': 602, 'exp': 3600774730}
{'nome': 'Rossebaud', 'classe': 'ED', 'level': 602, 'exp': 3600731528}
{'nome': 'Zaraki no kenpachi', 'classe': 'RP', 'level': 602, 'exp': 3600579795}
{'nome': 'Volvoo', 'classe': 'ED', 'level': 602, 'exp': 3600548215}
{'nome': 'Kami Lukinha', 'classe': 'RP', 'level': 602, 'exp': 3600509446}
{'nome': 'Axaxa La Xoxo', 'classe': 'ED', 'level': 602, 'exp': 3600483106}
{'nome': 'Sorc Cruel', 'classe': 'MS', 'level': 602, 'exp': 3600469699}
{'nome': 'Verme', 'classe': 'RP', 'level': 602, 'exp': 3600429898}
{'nome': 'Makerquatorze', 'classe': 'ED', 'level': 602, 'exp': 3600359017}
{'nome': 'Nubizinho', 'classe': 'EK', 'level': 602, 'exp': 3600246254}
{'nome': 'Young Mascka', 'classe': 'RP', 'level': 602, 'exp': 3600139871}
{'nome': 'Flash Grillo', 'classe': 'RP', 'level': 601, 'exp': 3599627945}
{'nome': 'Radagast The Brown', 'classe': 'ED', 'level': 601, 'exp': 3599442307}
{'nome': 'Duff System', 'classe': 'RP', 'level': 601, 'exp': 3599189560}
{'nome': 'Arantes Sc', 'classe': 'ED', 'level': 601, 'exp': 3599152406}
{'nome': 'Pocapoha', 'classe': 'RP', 'level': 601, 'exp': 3598883755}
{'nome': 'Dellaa', 'classe': 'RP', 'level': 601, 'exp': 3598521976}
{'nome': 'Flecha Tortta', 'classe': 'RP', 'level': 601, 'exp': 3598424268}
{'nome': 'Mistrupa', 'classe': 'ED', 'level': 601, 'exp': 3598319495}
{'nome': 'Lucas Rushzera', 'classe': 'ED', 'level': 601, 'exp': 3598261796}
{'nome': 'Lord Melliodas', 'classe': 'MS', 'level': 601, 'exp': 3598050276}
{'nome': 'Intocable', 'classe': 'MS', 'level': 601, 'exp': 3597983523}
{'nome': 'Mestre Do Desastre', 'classe': 'ED', 'level': 601, 'exp': 3597958867}
{'nome': 'Silencioso', 'classe': 'EK', 'level': 601, 'exp': 3597864687}
{'nome': 'Paladin Cavalo', 'classe': 'RP', 'level': 601, 'exp': 3597657198}
{'nome': 'Tholfin', 'classe': 'EK', 'level': 601, 'exp': 3597628802}
{'nome': 'Thor Skybolt', 'classe': 'RP', 'level': 601, 'exp': 3597591205}
{'nome': 'Slow Down', 'classe': 'RP', 'level': 601, 'exp': 3597306741}
{'nome': 'Doors', 'classe': 'EK', 'level': 601, 'exp': 3597166225}
{'nome': 'Pally Lombreiro', 'classe': 'RP', 'level': 601, 'exp': 3597163983}
{'nome': 'Scareface', 'classe': 'ED', 'level': 601, 'exp': 3597121214}
{'nome': 'Gakatos', 'classe': 'RP', 'level': 601, 'exp': 3597011233}
{'nome': 'Dichavas', 'classe': 'RP', 'level': 601, 'exp': 3596926072}
{'nome': 'Blizz', 'classe': 'ED', 'level': 601, 'exp': 3596787460}
{'nome': 'Bullring', 'classe': 'ED', 'level': 601, 'exp': 3596716771}
